customer_id,prob,default
100000,0.00815,0
100001,0.01775,0
100002,0.0728,0
100003,0.04818,0
100004,0.07923,0
100005,0.02297,0
100006,0.01,0
100007,0.02793,0
100008,0.0073,0
100009,0.02552,0
100010,0.01265,0
100011,0.01787,0
100012,0.03163,0
100013,0.01111,0
100014,0.0119,0
100015,0.01053,0
100016,0.03026,0
100017,0.0092,0
100018,0.25038,1
100019,0.06331,0
100020,0.04923,0
100021,0.33837,1
100022,0.02047,0
100023,0.0164,0
100024,0.05619,0
100025,0.01129,0
100026,0.00771,0
100027,0.14739,0
100028,0.00741,0
100029,0.04186,0
100030,0.1006,0
100031,0.03944,0
100032,0.03387,0
100033,0.03589,0
100034,0.00812,0
100035,0.01905,0
100036,0.01498,0
100037,0.01303,0
100038,0.01449,0
100039,0.01471,0
100040,0.03077,0
100041,0.01404,0
100042,0.27019,1
100043,0.07013,0
100044,0.02078,0
100045,0.02789,0
100046,0.03722,0
100047,0.09984,0
100048,0.01353,0
100049,0.00937,0
100050,0.09753,0
100051,0.01036,0
100052,0.38131,1
100053,0.04859,0
100054,0.0308,0
100055,0.0691,0
100056,0.0106,0
100057,0.02151,0
100058,0.00731,0
100059,0.01585,0
100060,0.16278,0
100061,0.01357,0
100062,0.00612,0
100063,0.0567,0
100064,0.01828,0
100065,0.01802,0
100066,0.00751,0
100067,0.00758,0
100068,0.02411,0
100069,0.0251,0
100070,0.00815,0
100071,0.29658,1
100072,0.01761,0
100073,0.01197,0
100074,0.05579,0
100075,0.02104,0
100076,0.00701,0
100077,0.06639,0
100078,0.02773,0
100079,0.00737,0
100080,0.21322,1
100081,0.28975,1
100082,0.00611,0
100083,0.06997,0
100084,0.02116,0
100085,0.0159,0
100086,0.06257,0
100087,0.13102,0
100088,0.01398,0
100089,0.01651,0
100090,0.04625,0
100091,0.00806,0
100092,0.01027,0
100093,0.0181,0
100094,0.02371,0
100095,0.01458,0
100096,0.02472,0
100097,0.00808,0
100098,0.0223,0
100099,0.07535,0
100100,0.25351,1
100101,0.01652,0
100102,0.01764,0
100103,0.04433,0
100104,0.01078,0
100105,0.01128,0
100106,0.00656,0
100107,0.01978,0
100108,0.00983,0
100109,0.01087,0
100110,0.02601,0
100111,0.01495,0
100112,0.02787,0
100113,0.06574,0
100114,0.14772,0
100115,0.0085,0
100116,0.01467,0
100117,0.02242,0
100118,0.0374,0
100119,0.06384,0
100120,0.00708,0
100121,0.01995,0
100122,0.00745,0
100123,0.02678,0
100124,0.0084,0
100125,0.00898,0
100126,0.24141,1
100127,0.00669,0
100128,0.00991,0
100129,0.01264,0
100130,0.00642,0
100131,0.10973,0
100132,0.02143,0
100133,0.01695,0
100134,0.05341,0
100135,0.02662,0
100136,0.00923,0
100137,0.0205,0
100138,0.01171,0
100139,0.03604,0
100140,0.01829,0
100141,0.10333,0
100142,0.04555,0
100143,0.02283,0
100144,0.01554,0
100145,0.25472,1
100146,0.17581,0
100147,0.01835,0
100148,0.01756,0
100149,0.16331,0
100150,0.01743,0
100151,0.00815,0
100152,0.04021,0
100153,0.00736,0
100154,0.08348,0
100155,0.10977,0
100156,0.00849,0
100157,0.03465,0
100158,0.00948,0
100159,0.00798,0
100160,0.03258,0
100161,0.01268,0
100162,0.01131,0
100163,0.09601,0
100164,0.01828,0
100165,0.07102,0
100166,0.27033,1
100167,0.3467,1
100168,0.00857,0
100169,0.00836,0
100170,0.00732,0
100171,0.07261,0
100172,0.01359,0
100173,0.03701,0
100174,0.06773,0
100175,0.01272,0
